"Link type"	"Is nofollow"	"Source URL"	"Source HTTP status code"	"Target URL"	"Target HTTP status code"	"Alt attribute"	"Is source canonical"	"Is source noindex"	"Is link internal"
"Image"	"false"	"https://cindemirlaw.com/gokhan-cindemir-attorney-at-law/"	"200"	"https://d.barobirlik.org.tr/amblem/tbb_amblem_60.png"	"403"	"Türkiye Barolar Birliği"	"true"	"false"	"false"
"Image"	"false"	"https://cindemirlaw.com/crypto-asset-fraud-common-schemes-legal-analysis-what-victims-should-do/"	"200"	"https://d.barobirlik.org.tr/amblem/tbb_amblem_60.png"	"403"	"Türkiye Barolar Birliği"	"true"	"false"	"false"
"Image"	"false"	"https://cindemirlaw.com/financial-rights-of-daughters-under-turkish-social-security-law/"	"200"	"https://d.barobirlik.org.tr/amblem/tbb_amblem_60.png"	"403"	"Türkiye Barolar Birliği"	"true"	"false"	"false"
"Image"	"false"	"https://cindemirlaw.com/stati/"	"200"	"https://d.barobirlik.org.tr/amblem/tbb_amblem_60.png"	"403"	"Türkiye Barolar Birliği"	"true"	"false"	"false"
"Image"	"false"	"https://cindemirlaw.com/resolution-in-the-course-of-litigation-proceedings-regarding-turkish-law/"	"200"	"https://d.barobirlik.org.tr/amblem/tbb_amblem_60.png"	"403"	"Türkiye Barolar Birliği"	"true"	"false"	"false"
"Image"	"false"	"https://cindemirlaw.com/enforcement-of-icsid-awards-in-turkey-the-light-of-last-developments/"	"200"	"https://d.barobirlik.org.tr/amblem/tbb_amblem_60.png"	"403"	"Türkiye Barolar Birliği"	"true"	"false"	"false"
"Image"	"false"	"https://cindemirlaw.com/fde1068e3bda46a37dd24126f9ec4b09df0c999365011ec71028e1a7d4c45bfdd1fde1068e3bda46a37dd24126f9ec4b09df0c999365011ec71028e1a7d4c45bfd83fde1068e3bda46a37dd24126f9ec4b09df0c999365011ec71028e1a7d4c45bf/?lang=ru"	"200"	"https://d.barobirlik.org.tr/amblem/tbb_amblem_60.png"	"403"	"Türkiye Barolar Birliği"	"true"	"false"	"false"
"Image"	"false"	"https://cindemirlaw.com/transferring-a-tiktok-account-with-escrow/"	"200"	"https://d.barobirlik.org.tr/amblem/tbb_amblem_60.png"	"403"	"Türkiye Barolar Birliği"	"true"	"false"	"false"
"Image"	"false"	"https://cindemirlaw.com/principle-of-family-unity-deportation-procedures-and-protection-of-family-unity-for-deportees/"	"200"	"https://d.barobirlik.org.tr/amblem/tbb_amblem_60.png"	"403"	"Türkiye Barolar Birliği"	"true"	"false"	"false"
"Image"	"false"	"https://cindemirlaw.com/inheritance-rights-for-divorced-spouses/"	"200"	"https://d.barobirlik.org.tr/amblem/tbb_amblem_60.png"	"403"	"Türkiye Barolar Birliği"	"true"	"false"	"false"
"Image"	"false"	"https://cindemirlaw.com/privacy-policy/"	"200"	"https://d.barobirlik.org.tr/amblem/tbb_amblem_60.png"	"403"	"Türkiye Barolar Birliği"	"true"	"false"	"false"
"Image"	"false"	"https://cindemirlaw.com/compulsory-earthquake-insurance-in-turkey-compensation-claim/"	"200"	"https://d.barobirlik.org.tr/amblem/tbb_amblem_60.png"	"403"	"Türkiye Barolar Birliği"	"true"	"false"	"false"
"Image"	"false"	"https://cindemirlaw.com/the-structure-of-board-of-directors-according-to-turkish-commercial-code/"	"200"	"https://d.barobirlik.org.tr/amblem/tbb_amblem_60.png"	"403"	"Türkiye Barolar Birliği"	"true"	"false"	"false"
"Image"	"false"	"https://cindemirlaw.com/fde1068e3bda46a37dd24126f9ec4b09df0c999365011ec71028e1a7d4c45bfdd0fde1068e3bda46a37dd24126f9ec4b09df0c999365011ec71028e1a7d4c45bfdb0fde1068e3bda46a37dd24126f9ec4b09df0c999365011ec71028e1a7d4c45bf/?lang=ru"	"200"	"https://d.barobirlik.org.tr/amblem/tbb_amblem_60.png"	"403"	"Türkiye Barolar Birliği"	"true"	"false"	"false"
"Image"	"false"	"https://cindemirlaw.com/turkish-succession-law/"	"200"	"https://d.barobirlik.org.tr/amblem/tbb_amblem_60.png"	"403"	"Türkiye Barolar Birliği"	"true"	"false"	"false"
"Image"	"false"	"https://cindemirlaw.com/%D0%BF%D1%80%D0%B0%D0%B2%D0%B0-%D0%B8-%D0%BE%D0%B1%D1%8F%D0%B7%D0%B0%D0%BD%D0%BD%D0%BE%D1%81%D1%82%D0%B8/?lang=ru"	"200"	"https://d.barobirlik.org.tr/amblem/tbb_amblem_60.png"	"403"	"Türkiye Barolar Birliği"	"true"	"false"	"false"
"Image"	"false"	"https://cindemirlaw.com/online-appointment-booking/"	"200"	"https://d.barobirlik.org.tr/amblem/tbb_amblem_60.png"	"403"	"Türkiye Barolar Birliği"	"true"	"false"	"false"
"Image"	"false"	"https://cindemirlaw.com/fde1068e3bda46a37dd24126f9ec4b09df0c999365011ec71028e1a7d4c45bfdd1fde1068e3bda46a37dd24126f9ec4b09df0c999365011ec71028e1a7d4c45bfd83fde1068e3bda46a37dd24126f9ec4b09df0c999365011ec71028e1a7d4c45bf-2/?lang=ru"	"200"	"https://d.barobirlik.org.tr/amblem/tbb_amblem_60.png"	"403"	"Türkiye Barolar Birliği"	"true"	"false"	"false"
"Image"	"false"	"https://cindemirlaw.com/eu-ai-act-prohibited-practices-and-compliance-obligations/"	"200"	"https://d.barobirlik.org.tr/amblem/tbb_amblem_60.png"	"403"	"Türkiye Barolar Birliği"	"true"	"false"	"false"
"Image"	"false"	"https://cindemirlaw.com/child-abduction-and-retention-under-turkish-law/"	"200"	"https://d.barobirlik.org.tr/amblem/tbb_amblem_60.png"	"403"	"Türkiye Barolar Birliği"	"true"	"false"	"false"
"Image"	"false"	"https://cindemirlaw.com/enforcement-of-promissory-notes-bills-of-exchange-and-cheques-in-turkey/?lang=ru"	"200"	"https://d.barobirlik.org.tr/amblem/tbb_amblem_60.png"	"403"	"Türkiye Barolar Birliği"	"true"	"false"	"false"
"Image"	"false"	"https://cindemirlaw.com/fde1068e3bda46a37dd24126f9ec4b09df0c999365011ec71028e1a7d4c45bfdd1fde1068e3bda46a37dd24126f9ec4b09df0c999365011ec71028e1a7d4c45bfd82fde1068e3bda46a37dd24126f9ec4b09df0c999365011ec71028e1a7d4c45bf/?lang=ru"	"200"	"https://d.barobirlik.org.tr/amblem/tbb_amblem_60.png"	"403"	"Türkiye Barolar Birliği"	"true"	"false"	"false"
"Image"	"false"	"https://cindemirlaw.com/offences-of-bodily-harm-under-turkish-law/"	"200"	"https://d.barobirlik.org.tr/amblem/tbb_amblem_60.png"	"403"	"Türkiye Barolar Birliği"	"true"	"false"	"false"
"Image"	"false"	"https://cindemirlaw.com/%D0%B8%D1%81%D0%BA-%D0%BE%D0%B1-%D1%83%D1%81%D1%82%D0%B0%D0%BD%D0%BE%D0%B2%D0%BB%D0%B5%D0%BD%D0%B8%D0%B8-%D0%BE%D1%82%D1%86%D0%BE%D0%B2%D1%81%D1%82%D0%B2%D0%B0-%D0%B2-%D1%82%D1%83%D1%80%D1%86%D0%B8/?lang=ru"	"200"	"https://d.barobirlik.org.tr/amblem/tbb_amblem_60.png"	"403"	"Türkiye Barolar Birliği"	"true"	"false"	"false"
"Image"	"false"	"https://cindemirlaw.com/hakan-cindemir-2/"	"200"	"https://d.barobirlik.org.tr/amblem/tbb_amblem_60.png"	"403"	"Türkiye Barolar Birliği"	"true"	"false"	"false"
"Image"	"false"	"https://cindemirlaw.com/basic-principles-of-turkish-labor-law/"	"200"	"https://d.barobirlik.org.tr/amblem/tbb_amblem_60.png"	"403"	"Türkiye Barolar Birliği"	"true"	"false"	"false"
"Image"	"false"	"https://cindemirlaw.com/%D1%80%D1%83%D1%81%D1%81%D0%BA%D0%BE%D1%8F%D0%B7%D1%8B%D1%87%D0%BD%D1%8B%D0%B9-%D1%8E%D1%80%D0%B8%D1%81%D1%82-%D0%B2-%D1%82%D1%83%D1%80%D1%86%D0%B8%D0%B8-%D1%8E%D1%80%D0%B8%D0%B4%D0%B8%D1%87/?lang=ru"	"200"	"https://d.barobirlik.org.tr/amblem/tbb_amblem_60.png"	"403"	"Türkiye Barolar Birliği"	"true"	"false"	"false"
"Image"	"false"	"https://cindemirlaw.com/fde1068e3bda46a37dd24126f9ec4b09df0c999365011ec71028e1a7d4c45bfdd0fde1068e3bda46a37dd24126f9ec4b09df0c999365011ec71028e1a7d4c45bfdb7fde1068e3bda46a37dd24126f9ec4b09df0c999365011ec71028e1a7d4c45bf/?lang=ru"	"200"	"https://d.barobirlik.org.tr/amblem/tbb_amblem_60.png"	"403"	"Türkiye Barolar Birliği"	"true"	"false"	"false"
"Image"	"false"	"https://cindemirlaw.com/%D0%BE%D1%82%D0%BA%D1%80%D1%8B%D1%82%D0%B8%D0%B5-%D0%B1%D0%B0%D0%BD%D0%BA%D0%BE%D0%B2%D1%81%D0%BA%D0%BE%D0%B3%D0%BE-%D1%81%D1%87%D0%B5%D1%82%D0%B0-%D0%B4%D0%BB%D1%8F-%D1%80%D0%BE%D1%81%D1%81%D0%B8/?lang=ru"	"200"	"https://d.barobirlik.org.tr/amblem/tbb_amblem_60.png"	"403"	"Türkiye Barolar Birliği"	"true"	"false"	"false"
"Image"	"false"	"https://cindemirlaw.com/personal-injury-liability-in-turkey/"	"200"	"https://d.barobirlik.org.tr/amblem/tbb_amblem_60.png"	"403"	"Türkiye Barolar Birliği"	"true"	"false"	"false"
"Image"	"false"	"https://cindemirlaw.com/enforcement-of-a-foreign-iran-judgment-in-turkey/"	"200"	"https://d.barobirlik.org.tr/amblem/tbb_amblem_60.png"	"403"	"Türkiye Barolar Birliği"	"true"	"false"	"false"
"Image"	"false"	"https://cindemirlaw.com/escrow-in-turkey/"	"200"	"https://d.barobirlik.org.tr/amblem/tbb_amblem_60.png"	"403"	"Türkiye Barolar Birliği"	"true"	"false"	"false"
"Image"	"false"	"https://cindemirlaw.com/enforcement-of-a-foreign-poland-judgment-in-turkey/"	"200"	"https://d.barobirlik.org.tr/amblem/tbb_amblem_60.png"	"403"	"Türkiye Barolar Birliği"	"true"	"false"	"false"
