"Link type"	"Is nofollow"	"Source URL"	"Source HTTP status code"	"Target URL"	"Target HTTP status code"	"Target no-crawl reason"	"Anchor"	"Is source canonical"	"Is source noindex"	"Is target canonical"	"Is target noindex"	"Is link self-referencing"
"Href link"	"false"	"https://cindemirlaw.com/employment/"	"200"	"https://cindemirlaw.com/"	"200"	""	"Русский Русский Russian ru"	"true"	"false"	"true"	"false"	"false"
"Href link"	"false"	"https://cindemirlaw.com/methods-of-debt-collection-in-the-light-of-turkish-law/"	"200"	"https://cindemirlaw.com/foreigners-and-international-protection-in-turkey/"	"200"	""	"Lawyer"	"true"	"false"	"true"	"false"	"false"
"Href link"	"false"	"https://cindemirlaw.com/our-articles-2/"	"200"	"https://www.youtube.com/channel/UCHobIlbWxCMGTPBSZv_rM7Q"	""	"Restricted domain"	"Link to Youtube"	"true"	"false"	""	""	"false"
"Href link"	"false"	"https://cindemirlaw.com/our-articles-2/"	"200"	"https://www.linkedin.com/company/cindemir-law-office/"	""	"Blocked by robots.txt"	"Link to LinkedIn"	"true"	"false"	""	""	"false"
"Href link"	"false"	"https://cindemirlaw.com/escrow-in-turkey/"	"200"	"https://cindemirlaw.com/principle-of-family-unity-deportation-procedures-and-protection-of-family-unity-for-deportees/"	"200"	""	"case"	"true"	"false"	"true"	"false"	"false"
"Href link"	"false"	"https://cindemirlaw.com/turkish-inheritance-law/"	"200"	"https://cindemirlaw.com/family-heritage/"	"200"	""	"Family Heritage"	"true"	"false"	"true"	"false"	"false"
"Href link"	"false"	"https://cindemirlaw.com/how-to-establish-a-limited-partnership-in-turkey/"	"200"	"https://cindemirlaw.com/articles/"	"200"	""	"Articles"	"true"	"false"	"true"	"false"	"false"
"Href link"	"false"	"https://cindemirlaw.com/articles/"	"200"	"https://cindemirlaw.com/legal-support-for-visiting-foreign-nationals-in-turkish-prisons/"	"200"	""	"Legal Support for Visiting Foreign Nationals in Turkish Prisons"	"true"	"false"	"true"	"false"	"false"
"Href link"	"false"	"https://cindemirlaw.com/p91/"	"200"	"https://cindemirlaw.com/international-apostille-services-in-turkey/"	"200"	""	"Turkey"	"true"	"false"	"true"	"false"	"false"
"Href link"	"false"	"https://cindemirlaw.com/alternative-dispute-resolutions-in-turkey/"	"200"	"https://cindemirlaw.com/turkish-succession-law/"	"200"	""	"children"	"true"	"false"	"true"	"false"	"false"
"Href link"	"false"	"https://cindemirlaw.com/finding-a-nominee-director-in-turkey/"	"200"	"https://cindemirlaw.com/enforcement-of-us-judgments-in-turkey/"	"200"	""	""	"true"	"false"	"true"	"false"	"false"
"Href link"	"false"	"https://cindemirlaw.com/privacy-policy-in-turkish-law/"	"200"	"https://cindemirlaw.com/personal-injury-liability-in-turkey/"	"200"	""	""	"true"	"false"	"true"	"false"	"false"
"Href link"	"false"	"https://cindemirlaw.com/pod/"	"200"	"https://cindemirlaw.com/"	"200"	""	"Русский Русский Russian ru"	"true"	"false"	"true"	"false"	"false"
"Href link"	"false"	"https://cindemirlaw.com/some-notes-about-opening-a-bank-account-for-a-foreign-company-in-turkey/"	"200"	"https://cindemirlaw.com/irish-boxer-acquitted-in-epic-brawl-case/"	"200"	""	""	"true"	"false"	"true"	"false"	"false"
"Href link"	"false"	"https://cindemirlaw.com/turkey-asset-repatriation-2026-legal-framework-for-bringing-foreign-assets-to-turkey/"	"200"	"https://cindemirlaw.com/turkish-lawyer-online-consultancy/"	"200"	""	"Turkish"	"true"	"false"	"true"	"false"	"false"
"Href link"	"false"	"https://cindemirlaw.com/fde1068e3bda46a37dd24126f9ec4b09df0c999365011ec71028e1a7d4c45bfdd1fde1068e3bda46a37dd24126f9ec4b09df0c999365011ec71028e1a7d4c45bfd83fde1068e3bda46a37dd24126f9ec4b09df0c999365011ec71028e1a7d4c45bf-3/?lang=ru"	"200"	"https://cindemirlaw.com/"	"200"	""	"English English Английский en"	"true"	"false"	"true"	"false"	"false"
"Href link"	"false"	"https://cindemirlaw.com/basic-principles-of-turkish-labor-law/"	"200"	"https://cindemirlaw.com/articles/"	"200"	""	"Articles"	"true"	"false"	"true"	"false"	"false"
"Href link"	"false"	"https://cindemirlaw.com/international-marriage-certificate-form-b-turkey-marriage-records/"	"200"	"https://cindemirlaw.com/"	"200"	""	"简体中文 简体中文 简体中文 Chinese (Simplified) zh-hans"	"true"	"false"	"true"	"false"	"false"
"Href link"	"false"	"https://cindemirlaw.com/who-is-hafiz-huseyin-husnu-efendi/"	"200"	"https://cindemirlaw.com/basic-principles-of-turkish-labor-law/"	"200"	""	"legal"	"true"	"false"	"true"	"false"	"false"
"Href link"	"false"	"https://cindemirlaw.com/crypto-asset-fraud-common-schemes-legal-analysis-what-victims-should-do/"	"200"	"https://cindemirlaw.com/crypto-market-manipulation-and-its-legal-implications-under-turkish-law/"	"200"	""	"Turkish Penal Code"	"true"	"false"	"true"	"false"	"false"
"Href link"	"false"	"https://cindemirlaw.com/fde1068e3bda46a37dd24126f9ec4b09df0c999365011ec71028e1a7d4c45bfdd1fde1068e3bda46a37dd24126f9ec4b09df0c999365011ec71028e1a7d4c45bfd81fde1068e3bda46a37dd24126f9ec4b09df0c999365011ec71028e1a7d4c45bf/?lang=ru"	"200"	"https://cindemirlaw.com/fde1068e3bda46a37dd24126f9ec4b09df0c999365011ec71028e1a7d4c45bfdd1fde1068e3bda46a37dd24126f9ec4b09df0c999365011ec71028e1a7d4c45bfd81fde1068e3bda46a37dd24126f9ec4b09df0c999365011ec71028e1a7d4c45bf-2/"	"301"	""	"Link to: Семейное право"	"true"	"false"	"true"	"false"	"false"
"Href link"	"false"	"https://cindemirlaw.com/methods-of-debt-collection-in-the-light-of-turkish-law/"	"200"	"https://cindemirlaw.com/"	"200"	""	"Русский Русский Russian ru"	"true"	"false"	"true"	"false"	"false"
"Href link"	"false"	"https://cindemirlaw.com/cindemir-law/"	"200"	"https://cindemirlaw.com/establishing-a-commercial-enterprise-in-turkey/"	"200"	""	""	"true"	"false"	"true"	"false"	"false"
