"Link type"	"Is nofollow"	"Source URL"	"Source HTTP status code"	"Target URL"	"Target HTTP status code"	"Target no-crawl reason"	"Alt attribute"	"Is source canonical"	"Is source noindex"	"Is link self-referencing"
"Image"	"false"	"https://cindemirlaw.com/escrow-account-turkey/"	"200"	"https://cindemirlaw.com/wp-content/uploads/flags/china-flag-xs.png"	"200"	""	"简体中文"	"true"	"false"	"false"
"Image"	"false"	"https://cindemirlaw.com/personal-injury-liability-in-turkey/"	"200"	"https://cindemirlaw.com/wp-content/plugins/sitepress-multilingual-cms/res/flags/ru.png"	"200"	""	"Русский"	"true"	"false"	"false"
"Image"	"false"	"https://cindemirlaw.com/verdict-rendered-for-the-unbelievable-accident-killing-a-tour-guide-hurriyet-newspaper/"	"200"	"https://cindemirlaw.com/wp-content/plugins/sitepress-multilingual-cms/res/flags/en.png"	"200"	""	"English"	"true"	"false"	"false"
"Image"	"false"	"https://cindemirlaw.com/enforcement-of-uk-judgments-in-turkey/"	"200"	"https://cindemirlaw.com/wp-content/uploads/2020/06/cropped-logoicon-1-1-300x300.jpg"	"200"	""	"Cindemir Law Office"	"true"	"false"	"false"
"Image"	"false"	"https://cindemirlaw.com/airport-customs-seizures-and-smuggling-offences-under-turkish-law/"	"200"	"https://cindemirlaw.com/wp-content/plugins/sitepress-multilingual-cms/res/flags/ru.png"	"200"	""	"Русский"	"true"	"false"	"false"
"Image"	"false"	"https://cindemirlaw.com/electric-distribution-and-transmission-in-turkey/"	"200"	"https://cindemirlaw.com/wp-content/uploads/flags/china-flag-xs.png"	"200"	""	"简体中文"	"true"	"false"	"false"
"Image"	"false"	"https://cindemirlaw.com/market-abuse-in-the-crypto-asset-market-in-turkey/"	"200"	"https://cindemirlaw.com/wp-content/plugins/sitepress-multilingual-cms/res/flags/ru.png"	"200"	""	"Русский"	"true"	"false"	"false"
"Image"	"false"	"https://cindemirlaw.com/basic-principles-of-turkish-labor-law/"	"200"	"https://cindemirlaw.com/wp-content/uploads/2020/06/cropped-logoicon-1-1-300x300.jpg"	"200"	""	"Cindemir Law Office"	"true"	"false"	"false"
"Image"	"false"	"https://cindemirlaw.com/kontak/"	"200"	"https://cindemirlaw.com/wp-content/uploads/2020/06/cropped-logoicon-1-1-300x300.jpg"	"200"	""	"Cindemir Law Office"	"true"	"false"	"false"
"Image"	"false"	"https://cindemirlaw.com/p91/"	"200"	"https://cindemirlaw.com/wp-content/uploads/flags/china-flag-xs.png"	"200"	""	"简体中文"	"true"	"false"	"false"
